11:36:23.874227 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:36:26.792388 IP 10.12.100.44.64914 > 10.12.19.23.4445: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.792397 IP 10.12.100.44.64914 > 10.12.19.23.11967: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.792399 IP 10.12.100.44.64914 > 10.12.19.23.1121: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.840839 IP 10.12.100.44.64913 > 10.12.19.23.2260: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.840860 IP 10.12.100.44.64912 > 10.12.19.23.3690: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.840952 IP 10.12.100.44.64912 > 10.12.19.23.51103: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.841054 IP 10.12.100.44.64912 > 10.12.19.23.9220: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.843625 IP 10.12.100.44.64912 > 10.12.19.23.20828: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.843634 IP 10.12.100.44.64912 > 10.12.19.23.4446: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.843636 IP 10.12.100.44.64912 > 10.12.19.23.1110: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.891288 IP 10.12.100.44.64913 > 10.12.19.23.9220: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.891325 IP 10.12.100.44.64913 > 10.12.19.23.51103: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.891327 IP 10.12.100.44.64913 > 10.12.19.23.3690: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.891329 IP 10.12.100.44.64914 > 10.12.19.23.2260: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.894103 IP 10.12.100.44.64913 > 10.12.19.23.1110: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.894130 IP 10.12.100.44.64913 > 10.12.19.23.4446: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.894132 IP 10.12.100.44.64913 > 10.12.19.23.20828: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.941439 IP 10.12.100.44.64914 > 10.12.19.23.3690: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.941474 IP 10.12.100.44.64914 > 10.12.19.23.51103: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.941476 IP 10.12.100.44.64914 > 10.12.19.23.9220: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.941531 IP 10.12.100.44.64912 > 10.12.19.23.1123: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.944421 IP 10.12.100.44.64914 > 10.12.19.23.20828: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.944431 IP 10.12.100.44.64914 > 10.12.19.23.4446: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.944433 IP 10.12.100.44.64914 > 10.12.19.23.1110: Flags [S], seq 2123937366, win 1024, options [mss 1460], length 0
11:36:26.991612 IP 10.12.100.44.64912 > 10.12.19.23.843: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.991646 IP 10.12.100.44.64912 > 10.12.19.23.5566: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.991648 IP 10.12.100.44.64912 > 10.12.19.23.32778: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.994025 IP 10.12.100.44.64913 > 10.12.19.23.1123: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:26.996362 IP 10.12.100.44.64912 > 10.12.19.23.5850: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.996382 IP 10.12.100.44.64912 > 10.12.19.23.2967: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:26.996384 IP 10.12.100.44.64912 > 10.12.19.23.8045: Flags [S], seq 2124068436, win 1024, options [mss 1460], length 0
11:36:27.041973 IP 10.12.100.44.64913 > 10.12.19.23.32778: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
11:36:27.041997 IP 10.12.100.44.64913 > 10.12.19.23.5566: Flags [S], seq 2124133973, win 1024, options [mss 1460], length 0
