16:13:34.297605 IP6 fe80::a00:27ff:fea0:484e > ff02::2: ICMP6, router solicitation, length 16
16:13:36.336015 IP 10.12.254.254 > 224.0.0.13: PIMv2, Hello, length 30
16:13:36.391462 IP 10.12.13.5.5353 > 224.0.0.251.5353: 0 PTR (QU)? _googlecast._tcp.local. (40)
16:13:36.391478 IP6 fe80::c88:8696:fbe8:e71a.5353 > ff02::fb.5353: 0 PTR (QU)? _googlecast._tcp.local. (40)
16:13:37.395193 IP 10.12.13.5.5353 > 224.0.0.251.5353: 0 PTR (QM)? _googlecast._tcp.local. (40)
16:13:37.395210 IP6 fe80::c88:8696:fbe8:e71a.5353 > ff02::fb.5353: 0 PTR (QM)? _googlecast._tcp.local. (40)
16:13:37.970886 IP 10.12.3.13.57621 > 10.12.255.255.57621: UDP, length 44
16:13:39.516506 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.171, length 46
16:13:39.516535 ARP, Reply 10.12.19.23 is-at 08:00:27:d1:82:df, length 28
16:13:39.717399 ARP, Request who-has 10.12.19.23 tell 10.12.100.171, length 46
16:13:41.438604 IP 10.12.100.171.47555 > 10.12.19.23.16993: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.438612 IP 10.12.100.171.47555 > 10.12.19.23.1000: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.438628 IP 10.12.100.171.47554 > 10.12.19.23.2602: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.438629 IP 10.12.100.171.47554 > 10.12.19.23.15004: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.438747 IP 10.12.100.171.47554 > 10.12.19.23.9878: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.438751 IP 10.12.100.171.47554 > 10.12.19.23.1097: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.438752 IP 10.12.100.171.47554 > 10.12.19.23.163: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.438823 IP 10.12.100.171.47554 > 10.12.19.23.7938: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.438885 IP 10.12.100.171.47554 > 10.12.19.23.1783: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.486164 IP 10.12.100.171.47554 > 10.12.19.23.22939: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.489076 IP 10.12.100.171.47555 > 10.12.19.23.1783: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.489084 IP 10.12.100.171.47555 > 10.12.19.23.7938: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.489189 IP 10.12.100.171.47555 > 10.12.19.23.163: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.489192 IP 10.12.100.171.47555 > 10.12.19.23.1097: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.489194 IP 10.12.100.171.47555 > 10.12.19.23.9878: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.489292 IP 10.12.100.171.47555 > 10.12.19.23.15004: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.489295 IP 10.12.100.171.47555 > 10.12.19.23.2602: Flags [S], seq 2535588393, win 1024, options [mss 1460], length 0
16:13:41.489297 IP 10.12.100.171.47554 > 10.12.19.23.1132: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
16:13:41.489392 IP 10.12.100.171.47554 > 10.12.19.23.40911: Flags [S], seq 2535653928, win 1024, options [mss 1460], length 0
