16:21:46.185930 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.171, length 46
16:21:46.185980 ARP, Reply 10.12.19.23 is-at 08:00:27:d1:82:df, length 28
16:21:49.359187 IP 10.12.100.171.43771 > 10.12.19.23.9535: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.359199 IP 10.12.100.171.43771 > 10.12.19.23.1049: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.359201 IP 10.12.100.171.43771 > 10.12.19.23.1583: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.359202 IP 10.12.100.171.43771 > 10.12.19.23.5718: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.359203 IP 10.12.100.171.43771 > 10.12.19.23.6901: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.359262 IP 10.12.100.171.43771 > 10.12.19.23.1088: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.359266 IP 10.12.100.171.43772 > 10.12.19.23.3851: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.409453 IP 10.12.100.171.43772 > 10.12.19.23.1088: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.409480 IP 10.12.100.171.43772 > 10.12.19.23.6901: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.409562 IP 10.12.100.171.43772 > 10.12.19.23.5718: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.409571 IP 10.12.100.171.43772 > 10.12.19.23.1583: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.409586 IP 10.12.100.171.43772 > 10.12.19.23.1049: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.409588 IP 10.12.100.171.43772 > 10.12.19.23.9535: Flags [.], ack 4201382041, win 1024, length 0
16:21:49.409589 IP 10.12.100.171.43770 > 10.12.19.23.12174: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.460617 IP 10.12.100.171.43771 > 10.12.19.23.12174: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.460639 IP 10.12.100.171.43770 > 10.12.19.23.1026: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.460641 IP 10.12.100.171.43770 > 10.12.19.23.144: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.460642 IP 10.12.100.171.43770 > 10.12.19.23.1000: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.460644 IP 10.12.100.171.43770 > 10.12.19.23.20000: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.460699 IP 10.12.100.171.43770 > 10.12.19.23.161: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.460703 IP 10.12.100.171.43770 > 10.12.19.23.2605: Flags [.], ack 4201513115, win 1024, length 0
16:21:49.510915 IP 10.12.100.171.43771 > 10.12.19.23.2605: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.510938 IP 10.12.100.171.43771 > 10.12.19.23.161: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.510940 IP 10.12.100.171.43771 > 10.12.19.23.20000: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.510942 IP 10.12.100.171.43771 > 10.12.19.23.1000: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.510992 IP 10.12.100.171.43771 > 10.12.19.23.144: Flags [.], ack 4201578650, win 1024, length 0
16:21:49.510996 IP 10.12.100.171.43771 > 10.12.19.23.1026: Flags [.], ack 4201578650, win 1024, length 0
