16:18:56.442910 IP 10.12.10.1.5353 > 224.0.0.251.5353: 0 [10q] PTR (QM)? _privet._tcp.local. PTR (QM)? _uscan._tcp.local. PTR (QM)? _uscans._tcp.local. PTR (QM)? _ippusb._tcp.local. PTR (QM)? _scanner._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _printer._tcp.local. PTR (QM)? _pdl-datastream._tcp.local. PTR (QM)? _ptp._tcp.local. (163)
16:18:56.442937 IP6 fe80::10ff:9e5:978:2f7e.5353 > ff02::fb.5353: 0 [10q] PTR (QM)? _privet._tcp.local. PTR (QM)? _uscan._tcp.local. PTR (QM)? _uscans._tcp.local. PTR (QM)? _ippusb._tcp.local. PTR (QM)? _scanner._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _printer._tcp.local. PTR (QM)? _pdl-datastream._tcp.local. PTR (QM)? _ptp._tcp.local. (163)
16:18:57.402921 IP 10.12.3.13.57621 > 10.12.255.255.57621: UDP, length 44
16:19:00.625680 IP 10.12.100.171.44371 > 10.12.19.23.23: Flags [none], win 1024, length 0
16:19:00.625681 IP 10.12.100.171.44371 > 10.12.19.23.995: Flags [none], win 1024, length 0
16:19:00.625763 IP 10.12.100.171.44371 > 10.12.19.23.110: Flags [none], win 1024, length 0
16:19:00.625768 IP 10.12.100.171.44371 > 10.12.19.23.143: Flags [none], win 1024, length 0
16:19:00.673235 IP 10.12.100.171.44372 > 10.12.19.23.443: Flags [none], win 1024, length 0
16:19:00.673260 IP 10.12.19.23.443 > 10.12.100.171.44372: Flags [R.], seq 0, ack 2283814201, win 0, length 0
16:19:00.673273 IP 10.12.100.171.44371 > 10.12.19.23.1783: Flags [none], win 1024, length 0
16:19:00.673275 IP 10.12.100.171.44371 > 10.12.19.23.445: Flags [none], win 1024, length 0
16:19:00.676183 IP 10.12.100.171.44371 > 10.12.19.23.21: Flags [none], win 1024, length 0
16:19:00.676188 IP 10.12.100.171.44371 > 10.12.19.23.3306: Flags [none], win 1024, length 0
16:19:00.676189 IP 10.12.100.171.44371 > 10.12.19.23.135: Flags [none], win 1024, length 0
16:19:00.676190 IP 10.12.100.171.44371 > 10.12.19.23.1723: Flags [none], win 1024, length 0
16:19:00.676236 IP 10.12.100.171.44371 > 10.12.19.23.1720: Flags [none], win 1024, length 0
16:19:00.726750 IP 10.12.100.171.44371 > 10.12.19.23.113: Flags [none], win 1024, length 0
16:19:00.779560 IP 10.12.100.171.44371 > 10.12.19.23.53: Flags [none], win 1024, length 0
16:19:00.779577 IP 10.12.100.171.44371 > 10.12.19.23.111: Flags [none], win 1024, length 0
16:19:00.779578 IP 10.12.100.171.44371 > 10.12.19.23.587: Flags [none], win 1024, length 0
16:19:00.779579 IP 10.12.100.171.44371 > 10.12.19.23.3389: Flags [none], win 1024, length 0
16:19:00.779580 IP 10.12.100.171.44371 > 10.12.19.23.199: Flags [none], win 1024, length 0
16:19:00.829567 IP 10.12.100.171.44371 > 10.12.19.23.22: Flags [none], win 1024, length 0
16:19:00.829596 IP 10.12.100.171.44371 > 10.12.19.23.5900: Flags [none], win 1024, length 0
16:19:00.831700 IP 10.12.100.171.44371 > 10.12.19.23.256: Flags [none], win 1024, length 0
16:19:00.831706 IP 10.12.100.171.44371 > 10.12.19.23.554: Flags [none], win 1024, length 0
16:19:00.831757 IP 10.12.100.171.44371 > 10.12.19.23.8888: Flags [none], win 1024, length 0
16:19:00.880348 IP 10.12.100.171.44371 > 10.12.19.23.993: Flags [none], win 1024, length 0
16:19:00.880365 IP 10.12.100.171.44371 > 10.12.19.23.25: Flags [none], win 1024, length 0
16:19:00.882735 IP 10.12.100.171.44371 > 10.12.19.23.80: Flags [none], win 1024, length 0
16:19:00.882749 IP 10.12.100.171.44371 > 10.12.19.23.8080: Flags [none], win 1024, length 0
16:19:00.882801 IP 10.12.100.171.44371 > 10.12.19.23.1025: Flags [none], win 1024, length 0
16:19:00.931474 IP 10.12.100.171.44369 > 10.12.19.23.2710: Flags [none], win 1024, length 0
16:19:00.931490 IP 10.12.100.171.44369 > 10.12.19.23.1721: Flags [none], win 1024, length 0
16:19:00.933606 IP 10.12.100.171.44369 > 10.12.19.23.5825: Flags [none], win 1024, length 0
16:19:00.933613 IP 10.12.100.171.44369 > 10.12.19.23.4000: Flags [none], win 1024, length 0
16:19:00.933615 IP 10.12.100.171.44369 > 10.12.19.23.24800: Flags [none], win 1024, length 0
16:19:00.982494 IP 10.12.100.171.44370 > 10.12.19.23.1721: Flags [none], win 1024, length 0
16:19:00.982511 IP 10.12.100.171.44370 > 10.12.19.23.2710: Flags [none], win 1024, length 0
