11:42:39.704750 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:42:44.852309 IP 10.12.100.44.38349 > 10.12.19.23.443: Flags [none], win 1024, length 0
11:42:44.855560 IP 10.12.100.44.38346 > 10.12.19.23.2401: Flags [none], win 1024, length 0
11:42:44.857863 IP 10.12.100.44.38346 > 10.12.19.23.1009: Flags [none], win 1024, length 0
11:42:44.908195 IP 10.12.100.44.38345 > 10.12.19.23.10082: Flags [none], win 1024, length 0
11:42:44.908228 IP 10.12.100.44.38344 > 10.12.19.23.2006: Flags [none], win 1024, length 0
11:42:44.959385 IP 10.12.100.44.38345 > 10.12.19.23.2006: Flags [none], win 1024, length 0
11:42:44.959415 IP 10.12.100.44.38346 > 10.12.19.23.10082: Flags [none], win 1024, length 0
11:42:45.009587 IP 10.12.100.44.38346 > 10.12.19.23.2006: Flags [none], win 1024, length 0
11:42:45.009598 IP 10.12.100.44.38344 > 10.12.19.23.6668: Flags [none], win 1024, length 0
11:42:45.059811 IP 10.12.100.44.38345 > 10.12.19.23.6668: Flags [none], win 1024, length 0
