11:44:14.061309 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:44:17.028700 IP 10.12.100.44.45007 > 10.12.19.23.7999: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.028801 IP 10.12.100.44.45007 > 10.12.19.23.1443: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.078782 IP 10.12.100.44.45008 > 10.12.19.23.1111: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.078804 IP 10.12.100.44.45007 > 10.12.19.23.6009: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.081394 IP 10.12.100.44.45008 > 10.12.19.23.1443: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.081416 IP 10.12.100.44.45008 > 10.12.19.23.7999: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.081417 IP 10.12.100.44.45008 > 10.12.19.23.32783: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.129003 IP 10.12.100.44.45008 > 10.12.19.23.6009: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.129021 IP 10.12.100.44.45009 > 10.12.19.23.1111: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.131810 IP 10.12.100.44.45009 > 10.12.19.23.32783: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.131816 IP 10.12.100.44.45009 > 10.12.19.23.7999: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.131867 IP 10.12.100.44.45009 > 10.12.19.23.1443: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.180221 IP 10.12.100.44.45009 > 10.12.19.23.6009: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.180239 IP 10.12.100.44.45007 > 10.12.19.23.1072: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.182611 IP 10.12.100.44.45007 > 10.12.19.23.6689: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.182618 IP 10.12.100.44.45007 > 10.12.19.23.340: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.182620 IP 10.12.100.44.45007 > 10.12.19.23.1038: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.230315 IP 10.12.100.44.45008 > 10.12.19.23.1072: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.230346 IP 10.12.100.44.45007 > 10.12.19.23.264: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.233072 IP 10.12.100.44.45008 > 10.12.19.23.1038: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.233080 IP 10.12.100.44.45008 > 10.12.19.23.340: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.233081 IP 10.12.100.44.45008 > 10.12.19.23.6689: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.280468 IP 10.12.100.44.45008 > 10.12.19.23.264: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.280487 IP 10.12.100.44.45009 > 10.12.19.23.1072: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.283201 IP 10.12.100.44.45009 > 10.12.19.23.6689: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.283214 IP 10.12.100.44.45009 > 10.12.19.23.340: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.283215 IP 10.12.100.44.45009 > 10.12.19.23.1038: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.330771 IP 10.12.100.44.45009 > 10.12.19.23.264: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.330789 IP 10.12.100.44.45007 > 10.12.19.23.7200: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.333294 IP 10.12.100.44.45007 > 10.12.19.23.2100: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.335716 IP 10.12.100.44.45007 > 10.12.19.23.5901: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.335725 IP 10.12.100.44.45007 > 10.12.19.23.49157: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.381874 IP 10.12.100.44.45008 > 10.12.19.23.7200: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.381890 IP 10.12.100.44.45007 > 10.12.19.23.43: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.384164 IP 10.12.100.44.45008 > 10.12.19.23.2100: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.386418 IP 10.12.100.44.45008 > 10.12.19.23.49157: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.386424 IP 10.12.100.44.45008 > 10.12.19.23.5901: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.432225 IP 10.12.100.44.45008 > 10.12.19.23.43: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.432256 IP 10.12.100.44.45009 > 10.12.19.23.7200: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.434804 IP 10.12.100.44.45009 > 10.12.19.23.2100: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.437325 IP 10.12.100.44.45009 > 10.12.19.23.5901: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.437331 IP 10.12.100.44.45009 > 10.12.19.23.49157: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.482527 IP 10.12.100.44.45009 > 10.12.19.23.43: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.482547 IP 10.12.100.44.45007 > 10.12.19.23.9877: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.485332 IP 10.12.100.44.45007 > 10.12.19.23.1169: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.487496 IP 10.12.100.44.45007 > 10.12.19.23.9898: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.487507 IP 10.12.100.44.45007 > 10.12.19.23.49154: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.533017 IP 10.12.100.44.45008 > 10.12.19.23.9877: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.533034 IP 10.12.100.44.45007 > 10.12.19.23.7496: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.535563 IP 10.12.100.44.45008 > 10.12.19.23.1169: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.538141 IP 10.12.100.44.45008 > 10.12.19.23.49154: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.538217 IP 10.12.100.44.45008 > 10.12.19.23.9898: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.584228 IP 10.12.100.44.45008 > 10.12.19.23.7496: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.584240 IP 10.12.100.44.45009 > 10.12.19.23.9877: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.586556 IP 10.12.100.44.45009 > 10.12.19.23.1169: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.589088 IP 10.12.100.44.45009 > 10.12.19.23.9898: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.589095 IP 10.12.100.44.45009 > 10.12.19.23.49154: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.634898 IP 10.12.100.44.45009 > 10.12.19.23.7496: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.634928 IP 10.12.100.44.45007 > 10.12.19.23.2869: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.637433 IP 10.12.100.44.45007 > 10.12.19.23.5004: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.639953 IP 10.12.100.44.45007 > 10.12.19.23.465: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.639959 IP 10.12.100.44.45007 > 10.12.19.23.7201: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.685132 IP 10.12.100.44.45008 > 10.12.19.23.2869: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.685160 IP 10.12.100.44.45007 > 10.12.19.23.1175: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.687837 IP 10.12.100.44.45008 > 10.12.19.23.5004: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.690139 IP 10.12.100.44.45008 > 10.12.19.23.7201: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.690146 IP 10.12.100.44.45008 > 10.12.19.23.465: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.735077 IP 10.12.100.44.45009 > 10.12.19.23.2869: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.737587 IP 10.12.100.44.45008 > 10.12.19.23.1175: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.739731 IP 10.12.100.44.45009 > 10.12.19.23.5004: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.742258 IP 10.12.100.44.45009 > 10.12.19.23.465: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.742263 IP 10.12.100.44.45009 > 10.12.19.23.7201: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.786268 IP 10.12.100.44.45007 > 10.12.19.23.10629: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.788784 IP 10.12.100.44.45009 > 10.12.19.23.1175: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.791277 IP 10.12.100.44.45007 > 10.12.19.23.54328: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.793617 IP 10.12.100.44.45007 > 10.12.19.23.1217: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.793635 IP 10.12.100.44.45007 > 10.12.19.23.11111: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.836678 IP 10.12.100.44.45008 > 10.12.19.23.10629: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.839260 IP 10.12.100.44.45007 > 10.12.19.23.2144: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.841681 IP 10.12.100.44.45008 > 10.12.19.23.54328: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.844042 IP 10.12.100.44.45008 > 10.12.19.23.11111: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.844048 IP 10.12.100.44.45008 > 10.12.19.23.1217: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.887153 IP 10.12.100.44.45009 > 10.12.19.23.10629: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.889560 IP 10.12.100.44.45008 > 10.12.19.23.2144: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:17.891922 IP 10.12.100.44.45009 > 10.12.19.23.54328: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.894186 IP 10.12.100.44.45009 > 10.12.19.23.1217: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.894204 IP 10.12.100.44.45009 > 10.12.19.23.11111: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.937406 IP 10.12.100.44.45011 > 10.12.19.23.443: Flags [FPU], seq 3710203985, win 1024, urg 0, length 0
11:44:17.940035 IP 10.12.100.44.45009 > 10.12.19.23.2144: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:17.942392 IP 10.12.100.44.45007 > 10.12.19.23.7435: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.944655 IP 10.12.100.44.45007 > 10.12.19.23.3003: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.944661 IP 10.12.100.44.45007 > 10.12.19.23.648: Flags [FPU], seq 3743758929, win 1024, urg 0, length 0
11:44:17.995339 IP 10.12.100.44.45008 > 10.12.19.23.648: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
11:44:18.045692 IP 10.12.100.44.45009 > 10.12.19.23.648: Flags [FPU], seq 3743890003, win 1024, urg 0, length 0
11:44:18.098467 IP 10.12.100.44.45008 > 10.12.19.23.3003: Flags [FPU], seq 3743693392, win 1024, urg 0, length 0
