11:43:17.422001 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:43:20.596480 IP 10.12.100.44.64487 > 10.12.19.23.18988: Flags [F], seq 2219845876, win 1024, length 0
11:43:20.644012 IP 10.12.100.44.64488 > 10.12.19.23.1233: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.644032 IP 10.12.100.44.64488 > 10.12.19.23.9999: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.646888 IP 10.12.100.44.64488 > 10.12.19.23.18988: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.646897 IP 10.12.100.44.64488 > 10.12.19.23.9594: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.646898 IP 10.12.100.44.64488 > 10.12.19.23.9917: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.694199 IP 10.12.100.44.64486 > 10.12.19.23.8090: Flags [F], seq 2219911413, win 1024, length 0
11:43:20.694216 IP 10.12.100.44.64486 > 10.12.19.23.1700: Flags [F], seq 2219911413, win 1024, length 0
11:43:20.697201 IP 10.12.100.44.64486 > 10.12.19.23.49155: Flags [F], seq 2219911413, win 1024, length 0
11:43:20.697209 IP 10.12.100.44.64486 > 10.12.19.23.26214: Flags [F], seq 2219911413, win 1024, length 0
11:43:20.697210 IP 10.12.100.44.64486 > 10.12.19.23.25735: Flags [F], seq 2219911413, win 1024, length 0
11:43:20.744166 IP 10.12.100.44.64487 > 10.12.19.23.8090: Flags [F], seq 2219845876, win 1024, length 0
11:43:20.746584 IP 10.12.100.44.64487 > 10.12.19.23.1700: Flags [F], seq 2219845876, win 1024, length 0
11:43:20.749117 IP 10.12.100.44.64487 > 10.12.19.23.25735: Flags [F], seq 2219845876, win 1024, length 0
11:43:20.749124 IP 10.12.100.44.64487 > 10.12.19.23.26214: Flags [F], seq 2219845876, win 1024, length 0
11:43:20.749125 IP 10.12.100.44.64487 > 10.12.19.23.49155: Flags [F], seq 2219845876, win 1024, length 0
11:43:20.794495 IP 10.12.100.44.64488 > 10.12.19.23.8090: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.797071 IP 10.12.100.44.64488 > 10.12.19.23.1700: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.799598 IP 10.12.100.44.64488 > 10.12.19.23.49155: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.799618 IP 10.12.100.44.64488 > 10.12.19.23.26214: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.799722 IP 10.12.100.44.64488 > 10.12.19.23.25735: Flags [F], seq 2220042487, win 1024, length 0
11:43:20.845292 IP 10.12.100.44.64486 > 10.12.19.23.3659: Flags [F], seq 2219911413, win 1024, length 0
11:43:20.847720 IP 10.12.100.44.64486 > 10.12.19.23.777: Flags [F], seq 2219911413, win 1024, length 0
11:43:20.849919 IP 10.12.100.44.64486 > 10.12.19.23.9080: Flags [F], seq 2219911413, win 1024, length 0
