16:20:31.648147 IP6 fe80::4f1:2841:3634:7344 > ff02::2: ICMP6, router solicitation, length 16
16:20:32.899550 IP 10.12.5.2.5353 > 224.0.0.251.5353: 0 [14q] [1au] PTR (QM)? _airport._tcp.local. PTR (QM)? _googlecast._tcp.local. PTR (QM)? _airplay._tcp.local. PTR (QM)? _raop._tcp.local. PTR (QM)? _privet._tcp.local. PTR (QM)? _uscan._tcp.local. PTR (QM)? _uscans._tcp.local. PTR (QM)? _ippusb._tcp.local. PTR (QM)? _scanner._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _printer._tcp.local. PTR (QM)? _pdl-datastream._tcp.local. PTR (QM)? _ptp._tcp.local. (246)
16:20:32.899569 IP6 fe80::10dd:2073:d7f6:c153.5353 > ff02::fb.5353: 0 [14q] [1au] PTR (QM)? _airport._tcp.local. PTR (QM)? _googlecast._tcp.local. PTR (QM)? _airplay._tcp.local. PTR (QM)? _raop._tcp.local. PTR (QM)? _privet._tcp.local. PTR (QM)? _uscan._tcp.local. PTR (QM)? _uscans._tcp.local. PTR (QM)? _ippusb._tcp.local. PTR (QM)? _scanner._tcp.local. PTR (QM)? _ipp._tcp.local. PTR (QM)? _ipps._tcp.local. PTR (QM)? _printer._tcp.local. PTR (QM)? _pdl-datastream._tcp.local. PTR (QM)? _ptp._tcp.local. (246)
16:20:33.075160 IP 10.12.10.1.57621 > 10.12.255.255.57621: UDP, length 44
16:20:33.986259 IP 10.12.254.254 > 224.0.0.1: igmp query v2
16:20:34.609212 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.171, length 46
16:20:34.609244 ARP, Reply 10.12.19.23 is-at 08:00:27:d1:82:df, length 28
16:20:36.273625 IP 10.12.100.171.35884 > 10.12.19.23.616: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.273626 IP 10.12.100.171.35884 > 10.12.19.23.8045: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.273627 IP 10.12.100.171.35884 > 10.12.19.23.1079: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.273681 IP 10.12.100.171.35884 > 10.12.19.23.407: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.273683 IP 10.12.100.171.35884 > 10.12.19.23.3826: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.273684 IP 10.12.100.171.35883 > 10.12.19.23.1417: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.273808 IP 10.12.100.171.35883 > 10.12.19.23.254: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.323745 IP 10.12.100.171.35883 > 10.12.19.23.1311: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.323755 IP 10.12.100.171.35883 > 10.12.19.23.18988: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.323756 IP 10.12.100.171.35883 > 10.12.19.23.1998: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.323757 IP 10.12.100.171.35883 > 10.12.19.23.2002: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.323758 IP 10.12.100.171.35883 > 10.12.19.23.1301: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.323810 IP 10.12.100.171.35883 > 10.12.19.23.3333: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.326215 IP 10.12.100.171.35884 > 10.12.19.23.254: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.326221 IP 10.12.100.171.35884 > 10.12.19.23.1417: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.326222 IP 10.12.100.171.35883 > 10.12.19.23.9009: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.326223 IP 10.12.100.171.35883 > 10.12.19.23.1042: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.373907 IP 10.12.100.171.35884 > 10.12.19.23.3333: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.373913 IP 10.12.100.171.35884 > 10.12.19.23.1301: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.373914 IP 10.12.100.171.35884 > 10.12.19.23.2002: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.373915 IP 10.12.100.171.35884 > 10.12.19.23.1998: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.373917 IP 10.12.100.171.35884 > 10.12.19.23.18988: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.373966 IP 10.12.100.171.35884 > 10.12.19.23.1311: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.376168 IP 10.12.100.171.35883 > 10.12.19.23.2049: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.378293 IP 10.12.100.171.35884 > 10.12.19.23.1042: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.378299 IP 10.12.100.171.35884 > 10.12.19.23.9009: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.378300 IP 10.12.100.171.35883 > 10.12.19.23.11111: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.424857 IP 10.12.100.171.35883 > 10.12.19.23.5730: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.424871 IP 10.12.100.171.35883 > 10.12.19.23.10025: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.424873 IP 10.12.100.171.35883 > 10.12.19.23.17: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.424873 IP 10.12.100.171.35883 > 10.12.19.23.1087: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.424875 IP 10.12.100.171.35883 > 10.12.19.23.2068: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.424923 IP 10.12.100.171.35883 > 10.12.19.23.8042: Flags [FPU], seq 3166827744, win 1024, urg 0, length 0
16:20:36.427506 IP 10.12.100.171.35884 > 10.12.19.23.2049: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
16:20:36.429992 IP 10.12.100.171.35884 > 10.12.19.23.11111: Flags [FPU], seq 3166762209, win 1024, urg 0, length 0
