11:45:57.047123 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:46:00.223757 IP 10.12.100.44.55669 > 10.12.19.23.5102: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.223758 IP 10.12.100.44.55669 > 10.12.19.23.19780: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.226328 IP 10.12.100.44.55669 > 10.12.19.23.55555: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.226336 IP 10.12.100.44.55669 > 10.12.19.23.3880: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.226338 IP 10.12.100.44.55670 > 10.12.19.23.7741: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.271386 IP 10.12.100.44.55670 > 10.12.19.23.2002: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.273885 IP 10.12.100.44.55670 > 10.12.19.23.5102: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.273907 IP 10.12.100.44.55670 > 10.12.19.23.15004: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.273972 IP 10.12.100.44.55670 > 10.12.19.23.1433: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.273976 IP 10.12.100.44.55670 > 10.12.19.23.61532: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.276191 IP 10.12.100.44.55670 > 10.12.19.23.19780: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.278363 IP 10.12.100.44.55670 > 10.12.19.23.3880: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.278376 IP 10.12.100.44.55670 > 10.12.19.23.55555: Flags [.], ack 3264947926, win 1024, length 0
11:46:00.278378 IP 10.12.100.44.55668 > 10.12.19.23.1580: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.321678 IP 10.12.100.44.55668 > 10.12.19.23.16000: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.324358 IP 10.12.100.44.55668 > 10.12.19.23.1114: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.324366 IP 10.12.100.44.55668 > 10.12.19.23.32771: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.324369 IP 10.12.100.44.55668 > 10.12.19.23.1037: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.324370 IP 10.12.100.44.55668 > 10.12.19.23.9290: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.326895 IP 10.12.100.44.55668 > 10.12.19.23.10180: Flags [.], ack 3264816852, win 1024, length 0
11:46:00.329381 IP 10.12.100.44.55669 > 10.12.19.23.1580: Flags [.], ack 3264751317, win 1024, length 0
11:46:00.329402 IP 10.12.100.44.55668 > 10.12.19.23.7627: Flags [.], ack 3264816852, win 1024, length 0
